City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Rio Grande,BR,-32.035,-52.0986,66.31,72,99,16.26,overcast clouds
300,Cangzhou,CN,38.3167,116.8667,57.67,55,99,13.82,overcast clouds
301,Poum,NC,-20.2333,164.0167,72.19,70,24,11.81,few clouds
302,Kampot,KH,10.6167,104.1833,82.45,87,100,9.28,overcast clouds
303,Saint-Martin-De-Crau,FR,43.6395,4.8127,62.71,77,0,3.44,clear sky
304,Masyaf,SY,35.0653,36.3406,62.65,34,0,2.86,clear sky
305,Mpraeso,GH,6.5932,-0.7346,71.64,95,100,2.84,overcast clouds
306,Belmonte,BR,-15.8631,-38.8828,75.7,79,100,11.52,overcast clouds
307,Tiznit,MA,29.5833,-9.5,68.83,63,8,1.83,clear sky
308,Maha Sarakham,TH,16.3333,103.6667,80.19,94,100,6.11,overcast clouds
309,Odienne,CI,9.51,-7.5692,74.08,92,80,6.71,heavy intensity rain
310,Esperanza,DO,19.5847,-70.9849,91.98,59,26,1.99,light rain
311,Karratha,AU,-20.7377,116.8463,75.36,24,0,12.03,clear sky
312,Port Arthur,CN,38.8,121.2667,66.9,48,100,19.35,overcast clouds
313,Buarcos,PT,40.166,-8.8768,63.82,97,35,5.57,scattered clouds
314,Leh,IN,34.1667,77.5833,45.63,31,0,2.73,clear sky
315,Gornyy,RU,55.1153,83.9059,40.8,81,100,7.94,overcast clouds
316,Nemuro,JP,43.3236,145.575,56.39,91,40,16.2,scattered clouds
317,Usinsk,RU,65.9939,57.5281,28.83,86,16,9.42,few clouds
318,Potosi,BO,-19.5836,-65.7531,59.76,40,20,10.92,few clouds
319,Tura,IN,25.5198,90.2201,73.65,86,3,2.48,clear sky
320,Winchester,GB,51.0651,-1.3187,55.02,91,99,0.0,mist
321,Port Lincoln,AU,-34.7333,135.8667,52.11,56,100,10.96,overcast clouds
322,Frontignan,FR,43.4485,3.754,62.01,72,30,2.86,scattered clouds
323,Mecca,SA,21.4267,39.8261,87.42,53,41,4.34,scattered clouds
324,Russell,US,32.3502,-85.1999,83.8,52,75,5.75,broken clouds
325,Kazanka,UA,47.8462,32.8218,46.71,28,99,10.47,overcast clouds
326,San Clemente,US,33.427,-117.612,77.56,66,1,3.0,clear sky
327,Rio Cuarto,AR,-33.1307,-64.3499,73.17,31,0,16.11,clear sky
328,Semme,FR,46.1963,1.5007,54.01,89,0,3.38,clear sky
329,Richards Bay,ZA,-28.783,32.0377,68.0,77,99,17.43,overcast clouds
330,Nuuk,GL,64.1835,-51.7216,34.41,80,75,9.22,broken clouds
331,Port Moresby,PG,-9.4431,147.1797,75.22,90,69,7.96,broken clouds
332,Mina,MX,26.0011,-100.5299,99.27,29,0,9.71,clear sky
333,Umm Lajj,SA,25.0213,37.2685,87.69,53,16,2.8,few clouds
334,Lensk,RU,60.7253,114.9278,36.72,97,100,11.72,light rain
335,Xining,CN,36.6167,101.7667,34.32,79,100,2.15,overcast clouds
336,Yelizavetino,RU,59.4916,29.7938,52.72,84,100,6.13,overcast clouds
337,Vao,NC,-22.6667,167.4833,69.6,60,63,15.43,broken clouds
338,Genhe,CN,50.7833,121.5167,33.62,97,100,11.39,moderate rain
339,Ugoofaaru,MV,5.6667,73.0,83.05,79,100,15.99,overcast clouds
340,Turayf,SA,31.6725,38.6637,73.65,27,0,13.8,clear sky
341,Kadarkut,HU,46.2362,17.6201,45.52,66,98,5.06,light rain
342,Boddam,GB,57.4667,-1.7833,54.72,93,100,8.3,overcast clouds
343,Yeppoon,AU,-23.1333,150.7333,64.18,81,2,7.78,clear sky
344,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.69,80,100,9.69,overcast clouds
345,Raudeberg,NO,61.9875,5.1352,56.19,90,100,10.0,light rain
